series,time_ms,force_N,velocity_m_s,hardness_N_mm_p,p,epsilon,tau_us
N14,0.7029475000000001,29.2655,2.0,8800.0,3.95,0.992,2.0
N14,0.7256235000000001,28.6855,2.0,8800.0,3.95,0.992,2.0
N14,0.7482995000000001,28.0778,2.0,8800.0,3.95,0.992,2.0
N14,0.7709755,27.4479,2.0,8800.0,3.95,0.992,2.0
N14,0.7936505,26.8009,2.0,8800.0,3.95,0.992,2.0
N14,0.8163265000000001,26.1409,2.0,8800.0,3.95,0.992,2.0
N14,0.8390025,25.4721,2.0,8800.0,3.95,0.992,2.0
N14,0.8616775,24.7974,2.0,8800.0,3.95,0.992,2.0
N14,0.8843535,24.1202,2.0,8800.0,3.95,0.992,2.0
N14,0.9070295,23.4427,2.0,8800.0,3.95,0.992,2.0
N14,0.9297055000000001,22.7674,2.0,8800.0,3.95,0.992,2.0
N14,0.9523805000000001,22.0959,2.0,8800.0,3.95,0.992,2.0
N14,0.9750585,21.4304,2.0,8800.0,3.95,0.992,2.0
N14,0.9977285,20.7717,2.0,8800.0,3.95,0.992,2.0
N14,1.0204085,20.1218,2.0,8800.0,3.95,0.992,2.0
N14,1.0430884999999999,19.481,2.0,8800.0,3.95,0.992,2.0
N14,1.0657584999999998,18.8509,2.0,8800.0,3.95,0.992,2.0
N14,1.0884384999999999,18.2316,2.0,8800.0,3.95,0.992,2.0
N14,1.1111084999999998,17.6244,2.0,8800.0,3.95,0.992,2.0
N14,1.1337884999999999,17.0292,2.0,8800.0,3.95,0.992,2.0
N14,1.1564584999999998,16.447,2.0,8800.0,3.95,0.992,2.0
N14,1.1791384999999999,15.8775,2.0,8800.0,3.95,0.992,2.0
N14,1.2018185,15.3216,2.0,8800.0,3.95,0.992,2.0
N14,1.2244884999999999,14.7789,2.0,8800.0,3.95,0.992,2.0
N14,1.2471685,14.25,2.0,8800.0,3.95,0.992,2.0
N14,1.2698384999999999,13.7345,2.0,8800.0,3.95,0.992,2.0
N14,1.2925185,13.2329,2.0,8800.0,3.95,0.992,2.0
N14,1.3151884999999999,12.7448,2.0,8800.0,3.95,0.992,2.0
N14,1.3378685,12.2704,2.0,8800.0,3.95,0.992,2.0
N14,1.3605485,11.8093,2.0,8800.0,3.95,0.992,2.0
N14,1.3832185000000001,11.3617,2.0,8800.0,3.95,0.992,2.0
N14,1.4058985,10.9272,2.0,8800.0,3.95,0.992,2.0
N14,1.4285685000000001,10.5058,2.0,8800.0,3.95,0.992,2.0
N14,1.4512485,10.0971,2.0,8800.0,3.95,0.992,2.0
N14,1.4739185,9.70115,2.0,8800.0,3.95,0.992,2.0
N14,1.4965985,9.31755,2.0,8800.0,3.95,0.992,2.0
N14,1.5192785,8.94615,2.0,8800.0,3.95,0.992,2.0
N14,1.5419485,8.58667,2.0,8800.0,3.95,0.992,2.0
N14,1.5646285,8.23889,2.0,8800.0,3.95,0.992,2.0
N14,1.5872985,7.90254,2.0,8800.0,3.95,0.992,2.0
N14,1.6099785,7.57738,2.0,8800.0,3.95,0.992,2.0
N14,1.6326485,7.26313,2.0,8800.0,3.95,0.992,2.0
N14,1.6553285,6.95955,2.0,8800.0,3.95,0.992,2.0
N14,1.6780084999999998,6.66636,2.0,8800.0,3.95,0.992,2.0
N14,1.7006785,6.3833,2.0,8800.0,3.95,0.992,2.0
N14,1.7233584999999998,6.11011,2.0,8800.0,3.95,0.992,2.0
N14,1.7460285,5.84654,2.0,8800.0,3.95,0.992,2.0
N14,1.7687084999999998,5.59231,2.0,8800.0,3.95,0.992,2.0
N14,1.7913785,5.34717,2.0,8800.0,3.95,0.992,2.0
N14,1.8140584999999998,5.11087,2.0,8800.0,3.95,0.992,2.0
