group,label,hardness,p,epsilon,tau0,velocity,log_file,nonfinite_output,Fmax_N,t_peak_s,peak_position_ratio,contact_span_s,contact_duration_s,half_max_duration_s,rise_time_s,fall_time_s,rise_fall_ratio,impulse_Ns,loading_impulse_fraction,unloading_impulse_fraction,force_centroid_ratio,sample_count,max_rise_slope,max_fall_slope,contact_event_count,error
a1_hardness_speed,a1_k_600,600,2.4,0.51,0.0004,1.0,071_a1_hardness_speed_a1_k_600_v1.txt,False,19.5147,0.000453515,0.21951254928650699,0.0018594084999999998,0.0017913809999999999,0.000680272,0.00040816349999999997,0.0014512449999999999,0.28125058139735193,0.01566045180930946,0.2766620754385825,0.7233379245614175,0.3654056099641572,83,80548.18081587645,-24814.782148527123,1,
a1_hardness_speed,a1_k_600,600,2.4,0.51,0.0004,2.0,072_a1_hardness_speed_a1_k_600_v2.txt,False,43.7152,0.000340136,0.16049345075523813,0.0018367385,0.0017006770999999999,0.000566893,0.0002947845,0.0015419540000000001,0.1911759365065365,0.0306299046452547,0.24594234297826226,0.7540576570217378,0.31998935060455796,82,257580.7020638562,-62956.429705415605,1,
a1_hardness_speed,a1_k_600,600,2.4,0.51,0.0004,4.0,073_a1_hardness_speed_a1_k_600_v4.txt,False,96.1254,0.000226757,0.09999980706245142,0.0018140584999999999,0.0016099728,0.00047619099999999994,0.0001814055,0.001632653,0.11111087291665774,0.060287995075659497,0.16664867056286986,0.8333513294371302,0.29052845013453904,81,827872.1058434395,-153430.94020109385,1,
a1_hardness_speed,a1_k_600,600,2.4,0.51,0.0004,6.0,074_a1_hardness_speed_a1_k_600_v6.txt,False,151.174,0.000204082,0.08750021016411544,0.0018140584999999999,0.0015646228,0.00045351399999999997,0.0001587305,0.001655328,0.0958906633609774,0.0898560415006235,0.17188277192097684,0.8281172280790231,0.2770117873426835,81,1665656.7928347467,-254277.6503792551,1,
a1_hardness_speed,a1_k_800,800,2.4,0.51,0.0004,0.5,075_a1_hardness_speed_a1_k_800_v0.5.txt,False,8.88822,0.000566893,0.28048785406757043,0.0018594084999999998,0.0017913809999999999,0.000793655,0.0005215415,0.001337867,0.3898306034904815,0.007961945662034325,0.3086838371654199,0.6913161628345802,0.4124615010673364,83,28614.39407302874,-10197.565708237813,1,
a1_hardness_speed,a1_k_800,800,2.4,0.51,0.0004,1.0,076_a1_hardness_speed_a1_k_800_v1.txt,False,20.2262,0.000408163,0.19753029622888615,0.0018367385,0.0017913871000000002,0.0006349210000000001,0.0003628115,0.001473927,0.2461529641562981,0.015530164432124996,0.25757700103131775,0.7424229989686821,0.35226129274741164,82,92765.47892044464,-26741.929793614334,1,
a1_hardness_speed,a1_k_800,800,2.4,0.51,0.0004,2.0,077_a1_hardness_speed_a1_k_800_v2.txt,False,45.0994,0.000294785,0.13580240192057821,0.0018367385,0.0016780028,0.000544218,0.0002494335,0.0015873050000000002,0.15714276714305062,0.030478188341655454,0.2100377482494992,0.7899622517505008,0.30898477724868206,82,299726.58317163546,-66976.84674751942,1,
a1_hardness_speed,a1_k_800,800,2.4,0.51,0.0004,4.0,078_a1_hardness_speed_a1_k_800_v4.txt,False,98.546,0.000204082,0.08750021016411544,0.0018140584999999999,0.0015873028,0.00047619,0.0001587305,0.001655328,0.0958906633609774,0.060083182954334,0.15194028379409433,0.8480597162059057,0.2832556985640989,81,968552.7934697765,-161417.35755865191,1,
a1_hardness_speed,a1_k_800,800,2.4,0.51,0.0004,6.0,079_a1_hardness_speed_a1_k_800_v6.txt,False,154.885,0.000181406,0.07500006201564062,0.0018140584999999999,0.0015419528,0.00040816299999999996,0.0001360545,0.0016780039999999999,0.08108115356101654,0.089605886113398,0.15231500377247298,0.8476849962275271,0.27135589006450783,81,1862513.6158971947,-266537.30816722626,1,
a1_hardness_speed,a1_k_1200,1200,2.4,0.51,0.0004,0.5,080_a1_hardness_speed_a1_k_1200_v0.5.txt,False,9.40735,0.000498866,0.24390256363784507,0.0018594084999999998,0.0017913809999999999,0.0007256230000000001,0.00045351450000000003,0.001405894,0.32258086313761924,0.007884104078877808,0.2924011587688148,0.7075988412311854,0.3831270988814608,83,35088.198976891865,-11491.003704357043,1,
a1_hardness_speed,a1_k_1200,1200,2.4,0.51,0.0004,1.0,081_a1_hardness_speed_a1_k_1200_v1.txt,False,21.2237,0.000362812,0.17283924739422624,0.0018367385,0.0017233571,0.0005895690000000001,0.0003174605,0.0015192780000000002,0.2089548456569502,0.015396366699417548,0.24638949363722681,0.7536105063627734,0.33197641403057326,82,113479.89063326863,-29556.78059536941,1,
a1_hardness_speed,a1_k_1200,1200,2.4,0.51,0.0004,2.0,082_a1_hardness_speed_a1_k_1200_v2.txt,False,46.8405,0.000249433,0.11111080864260209,0.0018367385,0.0016326528,0.000521542,0.0002040815,0.001632657,0.12499961718842353,0.03029196057822725,0.17899687721515473,0.8210031227848452,0.2956504646035787,82,366632.8555678059,-72820.28665931626,1,
