time,force
1.0195,0.0407857
1.01952,0.0422162
1.01955,0.0436871
1.01957,0.0451991
1.01959,0.0467532
1.01961,0.0483502
1.01964,0.0499911
1.01966,0.0516767
1.01968,0.0534079
1.01971,0.0551858
1.01973,0.0570112
1.01975,0.0588851
1.01977,0.0608086
1.0198,0.0627825
1.01982,0.0648078
1.01984,0.0668857
1.01986,0.069017
1.01989,0.0712029
1.01991,0.0734445
1.01993,0.0757427
1.01995,0.0780986
1.01998,0.0805134
1.02,0.0829882
1.02002,0.0855241
1.02005,0.0881222
1.02007,0.0907836
1.02009,0.0935097
1.02011,0.0963014
1.02014,0.09916
1.02016,0.102087
1.02018,0.105083
1.0202,0.10815
1.02023,0.111288
1.02025,0.1145
1.02027,0.117786
1.02029,0.121148
1.02032,0.124587
1.02034,0.128104
1.02036,0.131701
1.02039,0.135379
1.02041,0.139139
1.02043,0.142983
1.02045,0.146913
1.02048,0.150929
1.0205,0.155033
1.02052,0.159227
1.02054,0.163512
1.02057,0.167889
1.02059,0.17236
1.02061,0.176927
1.02063,0.181591
1.02066,0.186354
1.02068,0.191216
1.0207,0.196181
1.02073,0.201249
1.02075,0.206422
1.02077,0.211702
1.02079,0.21709
1.02082,0.222588
1.02084,0.228197
1.02086,0.23392
1.02088,0.239759
1.02091,0.245714
1.02093,0.251787
1.02095,0.257981
1.02098,0.264297
1.021,0.270738
1.02102,0.277304
1.02104,0.283997
1.02107,0.290821
1.02109,0.297776
1.02111,0.304864
1.02113,0.312087
1.02116,0.319448
1.02118,0.326947
1.0212,0.334588
1.02122,0.342372
1.02125,0.350302
1.02127,0.358378
1.02129,0.366604
1.02132,0.374981
1.02134,0.383511
1.02136,0.392197
1.02138,0.401041
1.02141,0.410045
1.02143,0.41921
1.02145,0.42854
1.02147,0.438036
1.0215,0.447701
1.02152,0.457536
1.02154,0.467545
1.02156,0.477729
1.02159,0.488091
1.02161,0.498633
1.02163,0.509358
1.02166,0.520267
1.02168,0.531364
1.0217,0.54265
1.02172,0.554128
1.02175,0.565801
1.02177,0.57767
1.02179,0.58974
1.02181,0.602011
1.02184,0.614486
1.02186,0.627169
1.02188,0.640062
1.0219,0.653166
1.02193,0.666486
1.02195,0.680023
1.02197,0.693781
1.022,0.707761
1.02202,0.721967
1.02204,0.736401
1.02206,0.751067
1.02209,0.765966
1.02211,0.781102
1.02213,0.796478
1.02215,0.812096
1.02218,0.827959
1.0222,0.84407
1.02222,0.860433
1.02224,0.877049
1.02227,0.893922
1.02229,0.911055
1.02231,0.928451
1.02234,0.946113
1.02236,0.964044
1.02238,0.982247
1.0224,1.00072
1.02243,1.01948
1.02245,1.03852
1.02247,1.05784
1.02249,1.07745
1.02252,1.09735
1.02254,1.11755
1.02256,1.13804
1.02259,1.15883
1.02261,1.17993
1.02263,1.20134
1.02265,1.22305
1.02268,1.24508
1.0227,1.26743
1.02272,1.2901
1.02274,1.31309
1.02277,1.33641
1.02279,1.36007
1.02281,1.38405
1.02283,1.40838
1.02286,1.43305
1.02288,1.45806
1.0229,1.48342
1.02293,1.50914
1.02295,1.53521
1.02297,1.56165
1.02299,1.58844
1.02302,1.61561
1.02304,1.64315
1.02306,1.67106
1.02308,1.69935
1.02311,1.72802
1.02313,1.75709
1.02315,1.78654
1.02317,1.81639
1.0232,1.84663
1.02322,1.87728
1.02324,1.90834
1.02327,1.9398
1.02329,1.97169
1.02331,2.00399
1.02333,2.03671
1.02336,2.06986
1.02338,2.10345
