schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,partial_index,pitch_lo_midi,pitch_hi_midi,f0_lo_hz,f0_hi_hz,db_c0,db_c1,db_c2,db_c3,energy_rel_fund_db_lo,energy_rel_fund_db_hi,energy_ratio_to_fund_lo,energy_ratio_to_fund_hi,amplitude_ratio_to_fund_lo,amplitude_ratio_to_fund_hi,source_observation_count,max_support_distance_semitones,anchor_status,smoothing_lambda,partial_cv_rmse_db,slice_cv_weighted_rmse_db,interpolation_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,21,22,27.5,29.1352350948806,22.3138561543112,-0.268314948560141,-0.00112582593190869,0.00000464612898110062,22.3138561543112,22.0444200259481,170.367054712442,160.118680523827,13.0524731262869,12.6538010306717,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,22,23,29.1352350948806,30.8677063285078,22.0444200259481,-0.270552662037029,0.00621113087120811,-0.00733695680312746,22.0444200259481,21.7727415379791,160.118680523827,150.409114272589,12.6538010306717,12.2641393612674,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,23,24,30.8677063285078,32.7031956625748,21.7727415379791,-0.280141270703988,0.00435888380718352,-0.0133658490526002,21.7727415379791,21.4835933020298,150.409114272589,140.721135290021,12.2641393612674,11.8625939528427,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,24,25,32.7031956625748,34.647828872109,21.4835933020298,-0.311521050247401,-0.0169825353870938,-0.00914281965483255,21.4835933020298,21.1459468967404,140.721135290021,130.195115038856,11.8625939528427,11.4103074033461,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,25,26,34.647828872109,36.7080959896759,21.1459468967404,-0.372914579986107,-0.0376660237206541,-0.00582922568321576,21.1459468967404,20.7295370673504,130.195115038856,118.291545709932,11.4103074033461,10.8761916914852,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,26,27,36.7080959896759,38.8908729652601,20.7295370673504,-0.465734304477048,-0.0617179684906441,-0.000861755350421545,20.7295370673504,20.2012230390323,118.291545709932,104.742347683442,10.8761916914852,10.2343708982742,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,27,28,38.8908729652601,41.2034446141087,20.2012230390323,-0.591755507509608,-0.0836175236393869,0.00286023911774647,20.2012230390323,19.5287102470011,104.742347683442,89.7162318716511,10.2343708982742,9.47186527942892,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,28,29,41.2034446141087,43.6535289291255,19.5287102470011,-0.75040983743515,-0.106628248317873,0.00832155275897584,19.5287102470011,18.679993714007,89.7162318716511,73.7903162084805,9.47186527942892,8.59012899836088,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,29,30,43.6535289291255,46.2493028389543,18.679993714007,-0.938701675793953,-0.141404922098727,0.0300753983245414,18.679993714007,17.6299625144389,73.7903162084805,57.9423695185334,8.59012899836088,7.61198853904375,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,30,31,46.2493028389543,48.9994294977187,17.6299625144389,-1.13128532501778,-0.123817931414416,0.0289337705748576,17.6299625144389,16.4037930285816,57.9423695185334,43.6897241707757,7.61198853904375,6.60982028278951,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,31,32,48.9994294977187,51.9130871974931,16.4037930285816,-1.29211987612204,-0.0957407881695798,0.0222927554465095,16.4037930285816,15.0382251197364,43.6897241707757,31.902337998029,6.60982028278951,5.64821547021968,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,32,33,51.9130871974931,55,15.0382251197364,-1.41672318612168,-0.0722377257806088,0.0171006511134901,15.0382251197364,13.5663648589476,31.902337998029,22.7319392055804,5.64821547021968,4.76780234548166,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,33,34,55,58.2704701897612,13.5663648589476,-1.50989668434242,-0.0517369681802218,0.0116824870672549,13.5663648589476,12.0164136934922,22.7319392055804,15.9089445948622,4.76780234548166,3.98860183458593,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,34,35,58.2704701897612,61.7354126570155,12.0164136934922,-1.57832315950111,-0.0430013767536366,0.0135713108556552,12.0164136934922,10.4086604680932,15.9089445948622,10.9866691585925,3.98860183458593,3.31461448114143,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,35,36,61.7354126570155,65.4063913251497,10.4086604680932,-1.62361198044141,-0.0227157976589758,0.0065410667574779,10.4086604680932,8.76887375675025,10.9866691585925,7.53160223555881,3.31461448114143,2.74437647482243,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,36,37,65.4063913251497,69.295657744218,8.76887375675025,-1.64942037548693,-0.0208714525542708,0.0111239248868253,8.76887375675025,7.10970585359587,7.53160223555881,5.14008836732689,2.74437647482243,2.26717629824566,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,37,38,69.295657744218,73.4161919793519,7.10970585359587,-1.657791505935,-0.0123035158210045,0.0136776312954061,7.10970585359587,5.45328846313528,5.14008836732689,3.5101756266238,2.26717629824566,1.8735462702116,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,38,39,73.4161919793519,77.7817459305202,5.45328846313528,-1.64136564369079,-0.00591036156082803,0.0206910233602076,5.45328846313528,3.82670348124387,3.5101756266238,2.41362807095718,1.8735462702116,1.55358555315025,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,2,39,40,77.7817459305202,82.4068892282175,3.82670348124387,-1.59111329673182,0.00908657218384668,0.0248710365028908,3.82670348124387,2.26954779319879,2.41362807095718,1.68637742310147,1.55358555315025,1.29860595374481,76,0,both_measured,300,7.28605411187653,8.62062944808652,within_observed_pitch_range
