Time: 0.00138321995464853, F: 6.37620265930156
Time: 0.00140589569160998, F: 6.33301604655956
Time: 0.00142857142857143, F: 6.290062422361
Time: 0.00145124716553288, F: 6.24734314686225
Time: 0.00147392290249433, F: 6.20485857067054
Time: 0.00149659863945578, F: 6.16260902130257
Time: 0.00151927437641723, F: 6.12059508524298
Time: 0.00154195011337868, F: 6.07881754605767
Time: 0.00156462585034014, F: 6.03727632424324
Time: 0.00158730158730159, F: 5.99597179777245
Time: 0.00160997732426304, F: 5.95490407489931
Time: 0.00163265306122449, F: 5.91407329490195
Time: 0.00165532879818594, F: 5.87347925579569
Time: 0.00167800453514739, F: 5.83312205242535
Time: 0.00170068027210884, F: 5.79300202920137
Time: 0.00172335600907029, F: 5.75311874706464
Time: 0.00174603174603175, F: 5.71347164054152
Time: 0.0017687074829932, F: 5.67406064993469
Time: 0.00179138321995465, F: 5.63488519081287
Time: 0.0018140589569161, F: 5.59594545444289
Time: 0.00183673469387755, F: 5.55724104688687
Time: 0.001859410430839, F: 5.51877163776873
Time: 0.00188208616780045, F: 5.47821082920721
Time: 0.0019047619047619, F: 5.43402408249858
Time: 0.00192743764172336, F: 5.49613131350716
Time: 0.00195011337868481, F: 6.06904735832625
Time: 0.00197278911564626, F: 7.71480947914444
Time: 0.00199546485260771, F: 10.7217089133838
Time: 0.00201814058956916, F: 14.6464214040971
Time: 0.00204081632653061, F: 18.2632441298106
Time: 0.00206349206349206, F: 20.5202539603034
Time: 0.00208616780045351, F: 21.429015223581
Time: 0.00210884353741497, F: 21.6090724866325
Time: 0.00213151927437642, F: 21.5229198774752
Time: 0.00215419501133787, F: 21.3481607000675
Time: 0.00217687074829932, F: 21.1377466429442
Time: 0.00219954648526077, F: 20.9133482298278
Time: 0.00222222222222222, F: 20.6853286576246
Time: 0.00224489795918367, F: 20.4571005860881
Time: 0.00226757369614512, F: 20.2292897199114
Time: 0.00229024943310658, F: 20.0020348025727
Time: 0.00231292517006803, F: 19.775479597103
Time: 0.00233560090702948, F: 19.5497362798832
Time: 0.00235827664399093, F: 19.3248896425291
Time: 0.00238095238095238, F: 19.1010119212671
Time: 0.00240362811791383, F: 18.8781749257075
Time: 0.00242630385487528, F: 18.6564339015224
Time: 0.00244897959183673, F: 18.4358504543336
Time: 0.00247165532879819, F: 18.2164725027156
Time: 0.00249433106575964, F: 17.9983462016197
Time: 0.00251700680272109, F: 17.781511591018
Time: 0.00253968253968254, F: 17.5660077772568
Time: 0.00256235827664399, F: 17.3518663318335
Time: 0.00258503401360544, F: 17.1391195446167
Time: 0.00260770975056689, F: 16.9277896891646
Time: 0.00263038548752834, F: 16.7179054521267
Time: 0.0026530612244898, F: 16.5094898720772
Time: 0.00267573696145125, F: 16.3025574392369
Time: 0.0026984126984127, F: 16.097128099471
Time: 0.00272108843537415, F: 15.8932165935879
Time: 0.0027437641723356, F: 15.6908358265347
Time: 0.00276643990929705, F: 15.4899998574355
Time: 0.0027891156462585, F: 15.2907196026725
Time: 0.00281179138321995, F: 15.0929983601455
Time: 0.00283446712018141, F: 14.8968496984445
Time: 0.00285714285714286, F: 14.7022767627015
Time: 0.00287981859410431, F: 14.5092851290104
Time: 0.00290249433106576, F: 14.3178808009203
Time: 0.00292517006802721, F: 14.1280653076903
Time: 0.00294784580498866, F: 13.9398401870057
Time: 0.00297052154195011, F: 13.7532079519225
Time: 0.00299319727891156, F: 13.5681691951394
Time: 0.00301587301587302, F: 13.384722794449
Time: 0.00303854875283447, F: 13.2028720154227
Time: 0.00306122448979592, F: 13.0226101032371
Time: 0.00308390022675737, F: 12.8439360799073
Time: 0.00310657596371882, F: 12.6668479736948
Time: 0.00312925170068027, F: 12.491344403033
Time: 0.00315192743764172, F: 12.3174217211567
Time: 0.00317460317460317, F: 12.1450731336353
Time: 0.00319727891156463, F: 11.9742964317022
Time: 0.00321995464852608, F: 11.8050846679253
Time: 0.00324263038548753, F: 11.6374341059915
Time: 0.00326530612244898, F: 11.4713396804986
Time: 0.00328798185941043, F: 11.3067958832118
Time: 0.00331065759637188, F: 11.1437943151448
Time: 0.00333333333333333, F: 10.9823294677709
Time: 0.00335600907029478, F: 10.8223947543871
Time: 0.00337868480725624, F: 10.6639840190667
Time: 0.00340136054421769, F: 10.5070888675767
Time: 0.00342403628117914, F: 10.3517020931719
Time: 0.00344671201814059, F: 10.1978157448528
Time: 0.00346938775510204, F: 10.0454223669836
Time: 0.00349206349206349, F: 9.89451434570027
Time: 0.00351473922902494, F: 9.74508486487021
Time: 0.00353741496598639, F: 9.59712460938218
Time: 0.00356009070294785, F: 9.45062357360495
