schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,midi,note,f0_hz,inharmonicity_B,partial_index,partial_frequency_hz,energy_rel_peak_db,energy_rel_fund_db,energy_ratio_to_fund,amplitude_ratio_to_fund,contrast_db,group_partial_count,group_max_partial_index,group_max_partial_frequency_hz,measurement_status
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,31,1035.61248779297,-31.572316176449,-8.57148414257589,0.138947771487834,0.372756987175069,34.9746554852892,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,32,1071.27685546875,-42.9775313553072,-19.9766993214341,0.01005379597862,0.100268619111963,305.146827908404,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,33,1108.9599609375,-31.3373239171534,-8.33649188328023,0.146673215025911,0.382979392429815,316.15887832771,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,34,1144.62432861328,-12.8338068100015,10.1670252238717,10.3920809819483,3.22367507387892,335.410274004808,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,35,1188.36364746094,-56.1213449306385,-33.1205128967654,0.000487470916951712,0.0220787435546435,293.277516404434,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,36,1237.48626708984,-69.524243419043,-46.5234113851699,0.0000222668539973137,0.00471877674798392,276.710767824197,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,37,1278.53393554688,-68.4137029497852,-45.4128709159121,0.0000287549693096427,0.00536236601787333,278.052645613039,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,38,1318.90869140625,-49.1701836102792,-26.1693515764061,0.00241582150186998,0.0491510071297627,299.184079246968,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,39,1353.22723388672,-57.7955861981583,-34.7947541642852,0.00033153133586567,0.018208001973464,282.855345456355,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,40,1409.75189208984,-25.1597510686869,-2.15891903481372,0.608286385790756,0.779927166978274,322.682612463526,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,41,1450.12664794922,-27.4727357163767,-4.47190368250357,0.357116265817619,0.597592056354181,321.354415390777,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,42,1489.15557861328,-30.648884697359,-7.64805266348586,0.171867885420079,0.414569518199395,317.433678714181,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,43,1530.87615966797,-30.5217012270541,-7.52086919318096,0.176975472570641,0.42068452856106,294.670685247492,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,44,1580.67169189453,-69.3958595814511,-46.3950275475779,0.0000229349208263386,0.00478904174405888,277.18227327566,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,45,1633.15887451172,-72.2961414441723,-49.2953094102992,0.0000117616718642799,0.00342952939399561,274.761079038662,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,46,1675.55236816406,-70.9438406563907,-47.9430086225175,0.0000160582841239721,0.00400727889271162,276.764197900312,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,47,1721.98333740234,-59.8787168971668,-36.8778848632936,0.000205216139600438,0.0143253669970594,288.307226975788,41,48,1777.16217041016,measured
1.0,Pianoteq 9 SingleNoteSamples,80,body,0.2,1.2,23,B0,30.4021911621094,0.000207215407454957,48,1777.16217041016,-39.6736812737656,-16.6728492398925,0.021513698402102,0.146675486711659,306.7766888571,41,48,1777.16217041016,measured
