Time: 1.02896, F: 38.2161
Time: 1.02898, F: 38.5501
Time: 1.029, F: 38.8862
Time: 1.02902, F: 39.2245
Time: 1.02905, F: 39.565
Time: 1.02907, F: 39.9076
Time: 1.02909, F: 40.2524
Time: 1.02912, F: 40.5994
Time: 1.02914, F: 40.9486
Time: 1.02916, F: 41.3
Time: 1.02918, F: 41.6535
Time: 1.02921, F: 42.0093
Time: 1.02923, F: 42.3673
Time: 1.02925, F: 42.7274
Time: 1.02927, F: 43.0898
Time: 1.0293, F: 43.4545
Time: 1.02932, F: 43.8213
Time: 1.02934, F: 44.1904
Time: 1.02937, F: 44.5617
Time: 1.02939, F: 44.9353
Time: 1.02941, F: 45.3111
Time: 1.02943, F: 45.6891
Time: 1.02946, F: 46.0695
Time: 1.02948, F: 46.452
Time: 1.0295, F: 46.8369
Time: 1.02952, F: 47.224
Time: 1.02955, F: 47.6133
Time: 1.02957, F: 48.005
Time: 1.02959, F: 48.3989
Time: 1.02961, F: 48.7951
Time: 1.02964, F: 49.1936
Time: 1.02966, F: 49.5944
Time: 1.02968, F: 49.9975
Time: 1.02971, F: 50.4029
Time: 1.02973, F: 50.8105
Time: 1.02975, F: 51.2205
Time: 1.02977, F: 51.6328
Time: 1.0298, F: 52.0473
Time: 1.02982, F: 52.4642
Time: 1.02984, F: 52.8834
Time: 1.02986, F: 53.3049
Time: 1.02989, F: 53.7287
Time: 1.02991, F: 54.1548
Time: 1.02993, F: 54.5833
Time: 1.02995, F: 55.014
Time: 1.02998, F: 55.4471
Time: 1.03, F: 55.8825
Time: 1.03002, F: 56.3202
Time: 1.03005, F: 56.7603
Time: 1.03007, F: 57.2026
Time: 1.03009, F: 57.6473
Time: 1.03011, F: 58.0943
Time: 1.03014, F: 58.5436
Time: 1.03016, F: 58.9953
Time: 1.03018, F: 59.4492
Time: 1.0302, F: 59.9055
Time: 1.03023, F: 60.3641
Time: 1.03025, F: 60.825
Time: 1.03027, F: 61.2882
Time: 1.03029, F: 61.7538
Time: 1.03032, F: 62.2216
Time: 1.03034, F: 62.6918
Time: 1.03036, F: 63.1643
Time: 1.03039, F: 63.639
Time: 1.03041, F: 64.1161
Time: 1.03043, F: 64.5955
Time: 1.03045, F: 65.0772
Time: 1.03048, F: 65.5612
Time: 1.0305, F: 66.0474
Time: 1.03052, F: 66.536
Time: 1.03054, F: 67.0268
Time: 1.03057, F: 67.5199
Time: 1.03059, F: 68.0153
Time: 1.03061, F: 68.513
Time: 1.03063, F: 69.0129
Time: 1.03066, F: 69.5151
Time: 1.03068, F: 70.0195
Time: 1.0307, F: 70.5262
Time: 1.03073, F: 71.0351
Time: 1.03075, F: 71.5462
Time: 1.03077, F: 72.0596
Time: 1.03079, F: 72.5752
Time: 1.03082, F: 73.0931
Time: 1.03084, F: 73.6131
