frame,time_sec,midi,velocity,F,dy,v_in,dv,sigma,sample
16,0.000362811791,69,80.000000000000,413.754286654656,0.001671967903,89.772911121196,-0.979292280385,0.265783076740,0.000000000000
17,0.000385487528,69,80.000000000000,399.932198458109,0.001647340537,86.749992009646,-0.984145590170,0.263818380094,0.000000000000
18,0.000408163265,69,80.000000000000,386.525922790688,0.001622933427,83.828405291651,-0.998889266579,0.261856711378,0.000000000000
19,0.000430839002,69,80.000000000000,368.444675196256,0.001579624369,81.043487111786,-2.701792487700,0.258339175494,0.000000000000
20,0.000453514739,69,80.000000000000,538.518162689432,0.002133933092,76.973055043082,49.380800842933,0.300264338796,0.000000000000
21,0.000476190476,69,80.000000000000,546.996854325637,0.002024918637,72.838536113939,24.234257419502,0.292494123726,0.000000307560
22,0.000498866213,69,80.000000000000,531.133979186337,0.001924297302,68.823917979500,9.776876535882,0.285134285952,1.027228593826
23,0.000521541950,69,80.000000000000,511.814121446598,0.001852710144,64.955330515807,2.241973657340,0.279780277314,154.406082153320
24,0.000544217687,69,80.000000000000,491.037767639088,0.001800778310,61.243782763433,-1.130370928409,0.275831259273,149.936172485352
25,0.000566893424,69,80.000000000000,469.750815569665,0.001759239632,57.693134119671,-2.364813035842,0.272631389313,144.847061157227
26,0.000589569161,69,80.000000000000,448.603783462368,0.001722222206,54.302326988436,-2.690653689888,0.269747823341,140.202636718750
27,0.000612244898,69,80.000000000000,427.955465540512,0.001686897845,51.067591799165,-2.705767204467,0.266967102728,135.875518798828
28,0.000634920635,69,80.000000000000,407.957283198355,0.001652224158,47.984014450727,-2.639000315911,0.264209141944,131.753326416016
29,0.000657596372,69,80.000000000000,388.661468368142,0.001617940824,45.046286042805,-2.556128710945,0.261453628432,127.746582031250
30,0.000680272109,69,80.000000000000,370.087279022177,0.001584042009,42.248952112176,-2.470015206639,0.258700164016,123.799118041992
31,0.000702947846,69,80.000000000000,352.243775947433,0.001550570443,39.586489708945,-2.382888612325,0.255952341711,119.891029357910
32,0.000725623583,69,80.000000000000,335.131809820641,0.001517559595,37.053369453309,-2.296743421635,0.253213137295,116.029830932617
33,0.000748299320,69,80.000000000000,318.742717831978,0.001485026896,34.644127443997,-2.213734986017,0.250484303601,112.235687255859
34,0.000770975057,69,80.000000000000,303.059542793624,0.001452979095,32.353427951982,-2.135263055680,0.247766758764,108.529190063477
35,0.000793650794,69,80.000000000000,288.059785710004,0.001421416376,30.176105308671,-2.061877825153,0.245060894263,104.924758911133
36,0.000816326531,69,80.000000000000,273.718324374956,0.001390335890,28.107183733653,-1.993489791717,0.242366852846,101.429763793945
37,0.000839002268,69,80.000000000000,260.009684809479,0.001359734988,26.141879993596,-1.929538978283,0.239684799768,98.046310424805
38,0.000861678005,69,80.000000000000,246.919180659576,0.001329658311,24.275521863139,-1.865305339779,0.237019120850,94.773277282715
39,0.000884353741,69,80.000000000000,232.655914054832,0.001291345897,22.516973759927,-2.576583575902,0.233579460026,91.608108520508
40,0.000907029478,69,80.000000000000,250.007098197885,0.001408821006,20.627275360850,11.148436214100,0.243972718790,88.547645568848
41,0.000929705215,69,80.000000000000,269.355026175436,0.001395761140,18.591334119917,0.675774458160,0.242839264014,85.574401855469
42,0.000952380952,69,80.000000000000,260.777230218742,0.001361712605,16.620228827259,-1.891174790826,0.239859036875,82.058715820312
43,0.000975056689,69,80.000000000000,246.733136559040,0.001326787303,14.755276925830,-2.289433683783,0.236763095875,125.881881713867
44,0.000997732426,69,80.000000000000,232.058349473678,0.001290981784,13.001245561705,-2.385997819157,0.233546527188,-23.186290740967
45,0.001020408163,69,80.000000000000,217.531500002277,0.001254730830,11.357016536745,-2.401834072201,0.230244169467,-32.166515350342
46,0.001043083900,69,80.000000000000,203.422368789325,0.001218454935,9.819432494497,-2.371243503889,0.226891429973,-31.959636688232
47,0.001065759637,69,80.000000000000,189.880075281291,0.001182409557,8.384208947398,-2.316965779367,0.223510187226,-31.918018341064
48,0.001088435374,69,80.000000000000,176.970305330197,0.001146717735,7.046564916179,-2.254543502741,0.220110936366,-32.280845642090
49,0.001111111111,69,80.000000000000,164.707073806413,0.001111431886,5.801613489071,-2.191295435839,0.216697939959,-32.825214385986
50,0.001133786848,69,80.000000000000,153.081370226608,0.001076577725,4.644535860752,-2.129448861147,0.213273085252,-33.382534027100
51,0.001156462585,69,80.000000000000,142.076697848238,0.001042172626,3.570637917833,-2.069412780884,0.209837540644,-33.859855651855
